id,state,district
0,AL,2
1,CA,9
2,FL,9
3,IL,17
4,IN,1
5,KS,3
6,MI,3
7,MN,2
8,NH,1
9,NV,1
10,NV,4
11,NY,3
12,OH,1
13,OR,4
14,OR,6
15,TX,28
16,WA,8
17,CA,47
18,CA,49
19,CT,5
20,MD,6
21,NE,2
22,NV,3
23,NY,4
24,NY,18
25,NY,22
26,OH,9
27,OH,13
28,PA,17
29,TX,34
30,AK,0
31,CO,8
32,ME,2
33,MI,8
34,NC,1
35,NM,2
36,PA,7
37,PA,8
38,VA,7
39,WA,3
40,AZ,1
41,AZ,6
42,CA,13
43,CA,22
44,CA,27
45,CA,41
46,CA,45
47,IA,1
48,IA,3
49,NY,19
50,OR,5
51,PA,10
52,CO,3
53,MI,7
54,MI,10
55,MT,1
56,NJ,7
57,NY,17
58,VA,2
59,WI,3
60,AZ,2
61,CA,3
62,CA,40
63,FL,13
64,FL,27
65,NY,1
66,PA,1
67,TX,15
68,WI,1
